
Id,Serial,AccountType,LedgerCode,InvoiceNo,RefId,Amount,Debit,Credit,CreateDate,Remarks,EntryType
2,F00000000001,Asset,1010,I000100000005,O00000000001,1.0000,0.0000,1.0000,2/24/2019 6:54:29 PM,Unit Fee,Credit
1,F00000000001,Exp,6130,I000100000005,O00000000001,1.0000,1.0000,0.0000,2/24/2019 6:54:41 PM,Unit Fee,Debit
3,F00000000002,COG,5040,I000100000004,O00000000001,1.0000,1.0000,0.0000,2/25/2019 6:38:10 PM,ACH Process Fee,Debit
4,F00000000002,Asset,1010,I000100000004,O00000000001,1.0000,0.0000,1.0000,2/25/2019 6:38:10 PM,ACH Process Fee,Credit
7,F00000000004,COG,5040,I000100000007,O00000000001,0.2500,0.2500,0.0000,2/28/2019 5:22:55 PM,ACH Process Fee,Debit
8,F00000000004,Asset,1010,I000100000007,O00000000001,0.2500,0.0000,0.2500,2/28/2019 5:22:55 PM,ACH Process Fee,Credit
10,F00000000005,Asset,1010,I000100000006,O00000000001,0.2500,0.0000,0.2500,2/28/2019 5:27:34 PM,ACH Process Fee,Credit
9,F00000000005,COG,5040,I000100000006,O00000000001,0.2500,0.2500,0.0000,2/28/2019 5:27:37 PM,ACH Process Fee,Debit
11,F00000000006,Asset,1010,A00000000001,O00000000001,0.5000,0.5000,0.0000,2/28/2019 6:13:43 PM,Sales Commission,Debit
12,F00000000006,Inc,4010,A00000000001,O00000000001,0.5000,0.0000,0.5000,2/28/2019 6:13:44 PM,Sales Commission,Credit
13,F00000000007,Asset,1010,I00010000004,100000000001,60.0000,60.0000,0.0000,4/24/2019 4:43:16 PM,ApplicationFee,Debit
14,F00000000007,Inc,4060,I00010000004,100000000001,60.0000,0.0000,60.0000,4/24/2019 4:43:16 PM,ApplicationFee,Credit
10013,F00000000008,Asset,1010,I00010000005,100000000001,60.0000,60.0000,0.0000,5/8/2019 1:46:02 PM,ApplicationFee,Debit
10014,F00000000008,Inc,4060,I00010000005,100000000001,60.0000,0.0000,60.0000,5/8/2019 1:46:02 PM,ApplicationFee,Credit
10015,F00000000009,Asset,1010,I00010000006,100000000001,60.0000,60.0000,0.0000,5/12/2019 1:18:42 PM,ApplicationFee,Debit
10016,F00000000009,Inc,4060,I00010000006,100000000001,60.0000,0.0000,60.0000,5/12/2019 1:18:42 PM,ApplicationFee,Credit
10017,F00000000010,Asset,1010,I00010000007,100000000001,25.0000,25.0000,0.0000,5/12/2019 1:54:33 PM,ApplicationFee,Debit
10018,F00000000010,Inc,4060,I00010000007,100000000001,25.0000,0.0000,25.0000,5/12/2019 1:54:33 PM,ApplicationFee,Credit
10019,F00000000011,Asset,1010,I00010000008,100000000001,60.0000,60.0000,0.0000,5/14/2019 12:31:57 AM,ApplicationFee,Debit
10020,F00000000011,Inc,4060,I00010000008,100000000001,60.0000,0.0000,60.0000,5/14/2019 12:31:57 AM,ApplicationFee,Credit
10021,F00000000012,Asset,1010,I00010000009,100000000001,25.0000,25.0000,0.0000,5/14/2019 1:50:11 PM,ApplicationFee,Debit
10022,F00000000012,Inc,4060,I00010000009,100000000001,25.0000,0.0000,25.0000,5/14/2019 1:50:11 PM,ApplicationFee,Credit
10023,F00000000013,Asset,1010,I00010000010,100000000010,25.0000,25.0000,0.0000,5/14/2019 1:50:35 PM,ApplicationFee,Debit
10024,F00000000013,Inc,4060,I00010000010,100000000010,25.0000,0.0000,25.0000,5/14/2019 1:50:35 PM,ApplicationFee,Credit
10025,F00000000014,Asset,1010,I00010000011,100000000011,25.0000,25.0000,0.0000,5/14/2019 1:51:49 PM,ApplicationFee,Debit
10026,F00000000014,Inc,4060,I00010000011,100000000011,25.0000,0.0000,25.0000,5/14/2019 1:51:49 PM,ApplicationFee,Credit
