ADI
Income Statement
For the period ending May 20 2019

Net Income:  338.00

Serial,RefId,InvoiceNo,LedgerCode,LedgerName,Amount,Expense,Income,CreateDate,Remarks
F00000000001,O00000000001,I000100000005,6130,License,1.0000,1.0000,0,2/24/2019 6:54:41 PM,Unit Fee
F00000000002,O00000000001,I000100000004,5040,Bank Processing Fee,1.0000,1.0000,0,2/25/2019 6:38:10 PM,ACH Process Fee
F00000000004,O00000000001,I000100000007,5040,Bank Processing Fee,0.2500,0.2500,0,2/28/2019 5:22:55 PM,ACH Process Fee
F00000000005,O00000000001,I000100000006,5040,Bank Processing Fee,0.2500,0.2500,0,2/28/2019 5:27:37 PM,ACH Process Fee
F00000000006,O00000000001,A00000000001,4010,Rental Income,0.5000,0,0.5000,2/28/2019 6:13:44 PM,Sales Commission
F00000000007,100000000001,I00010000004,4060,Application Fee,60.0000,0,60.0000,4/24/2019 4:43:16 PM,ApplicationFee
F00000000008,100000000001,I00010000005,4060,Application Fee,60.0000,0,60.0000,5/8/2019 1:46:02 PM,ApplicationFee
F00000000009,100000000001,I00010000006,4060,Application Fee,60.0000,0,60.0000,5/12/2019 1:18:42 PM,ApplicationFee
F00000000010,100000000001,I00010000007,4060,Application Fee,25.0000,0,25.0000,5/12/2019 1:54:33 PM,ApplicationFee
F00000000011,100000000001,I00010000008,4060,Application Fee,60.0000,0,60.0000,5/14/2019 12:31:57 AM,ApplicationFee
F00000000012,100000000001,I00010000009,4060,Application Fee,25.0000,0,25.0000,5/14/2019 1:50:11 PM,ApplicationFee
F00000000013,100000000010,I00010000010,4060,Application Fee,25.0000,0,25.0000,5/14/2019 1:50:35 PM,ApplicationFee
F00000000014,100000000011,I00010000011,4060,Application Fee,25.0000,0,25.0000,5/14/2019 1:51:49 PM,ApplicationFee
